Date,Description,Comments,Check Number,Amount,Balance
2023-06-01,Amazon Marketplace,,1223,-4.5,3230.98
2024-01-10,Amazon Marketplace,Fuel,2683,-20.0,1387.5
2023-12-05,Shell Gas Station,Fuel,7029,-20.0,4928.59
2023-04-09,Lyft Ride,,6530,-9.99,4754.7
2023-04-06,Uber Eats,,6339,-9.99,3296.2
2024-03-11,Lyft Ride,Groceries,5285,-30.0,4148.77
2023-02-02,Uber Eats,Groceries,7083,-15.0,1136.2
2023-04-24,Spotify Subscription,,9377,-75.25,2992.82
2024-01-13,Lyft Ride,,1709,-4.5,2520.14
2023-08-06,Best Buy,,3728,-30.0,1786.97
2023-07-08,Shell Gas Station,Electronics,9613,-12.34,4476.79
2023-11-23,Uber Eats,Electronics,8078,-50.75,4017.09
2024-02-08,Best Buy,,7348,-19.99,4435.76
2023-10-06,Uber Eats,,1313,-19.99,3941.06
2023-10-18,Uber Eats,Groceries,1051,-9.99,2260.15
2023-03-24,Walmart Supercenter,,9202,-12.34,2441.86
2023-07-20,Target Store,Ride,7009,-75.25,1012.24
2023-05-28,Amazon Marketplace,Ride,5934,-50.75,2590.29
2024-01-11,Starbucks,Ride,7534,-75.25,4792.91
2023-05-01,Starbucks,Monthly subscription,4429,-150.0,3093.98
2023-11-25,Lyft Ride,,7482,-4.5,4866.25
2024-05-04,Netflix Subscription,,3970,-20.0,4072.98
2024-01-24,Shell Gas Station,Ride,2755,-50.75,2903.55
2023-07-11,Amazon Marketplace,,1080,-12.34,4394.05
2023-12-30,Starbucks,Monthly subscription,8298,-75.25,4234.99
2023-10-24,Walmart Supercenter,Groceries,4347,-19.99,4442.81
2024-05-08,Amazon Marketplace,Fuel,8901,-30.0,1538.09
2024-02-26,Target Store,Groceries,7027,-15.0,4984.78
2024-03-12,Amazon Marketplace,,5659,-150.0,2521.13
2024-03-17,Shell Gas Station,,5964,-150.0,1337.42
2023-12-26,Walmart Supercenter,Groceries,3046,-4.5,2301.04
2023-10-18,Netflix Subscription,Ride,1162,-50.75,3750.44
2024-04-25,Amazon Marketplace,Groceries,1688,-15.0,1983.9
2023-06-22,Target Store,,5133,-20.0,4537.04
2024-04-28,Target Store,Fuel,1204,-12.34,1398.07
2024-01-18,Best Buy,Fuel,8682,-150.0,2379.22
2023-09-04,Amazon Marketplace,Groceries,3343,-4.5,4163.01
2024-05-21,Target Store,Groceries,5496,-75.25,2743.22
2023-06-13,Netflix Subscription,,6681,-75.25,2438.0
2024-05-05,Best Buy,,3640,-30.0,3842.75
2023-08-13,Lyft Ride,,9546,-150.0,3428.82
2023-04-17,Target Store,Electronics,5115,-15.0,3649.84
2023-09-19,Amazon Marketplace,,2039,-9.99,2614.78
2023-12-10,Netflix Subscription,Groceries,3529,-12.34,1439.28
2023-05-27,Target Store,,9465,-150.0,3813.47
2024-02-16,Shell Gas Station,,8324,-15.0,4462.22
